  1.	9009
  2.	616
  3.	4224
  4.	2009
  5.	3025
  6.	2021
  7.	4209
  8.	2349
  9.	5621
 10.	2464
 11.	1909
 12.	5616
 13.	2016
 14.	1104
 15.	2201
 16.	3009
 17.	3024
 18.	2016
 19.	9021
 20.	9024
 21.	2304
 22.	625
 23.	1701
 24.	2704
 25.	2601
 26.	2916
 27.	2964
 28.	3036
 29.	2849
 30.	2604
 31.	1221
 32.	7216
 33.	2409
 34.	2816
 35.	1209
 36.	3025
 37.	7209
 38.	4225
 39.	7224
 40.	3021
 41.	2736
 42.	1649
 43.	2709
 44.	1536
 45.	7225
 46.	1316
 47.	2581
 48.	1209
 49.	2024
 50.	624
 51.	3016
 52.	5624
 53.	3081
 54.	1224
 55.	3264
 56.	1804
 57.	1001
 58.	221
 59.	3481
 60.	1764
 61.	2025
 62.	2625
 63.	1216
 64.	2236
 65.	5625
 66.	1225
 67.	9025
 68.	216
 69.	2516
 70.	5609
 71.	4221
 72.	3149
 73.	609
 74.	3364
 75.	9016
 76.	1425
 77.	209
 78.	2925
 79.	225
 80.	4216
 81.	2125
 82.	621
 83.	2809
 84.	3136
 85.	1881
 86.	224
 87.	3249
 88.	3381
 89.	7221
 90.	2501
